station_name,waterbody_name,county_name,lease_num,station_latitude,station_longitude,station_notes
0001,Country Harbour,Guysborough,0001,45.18561,-61.71676,NA
0028,Marie Joseph Harbour,Guysborough,0028,44.9625,-62.06083,NA
0193,Denas Pond,Inverness,0193,46.00718,-60.98854,NA
0622,Country Harbour,Guysborough,0622,45.23194,-61.76,NA
0667,Arichat Harbour,Richmond,0667,45.49341,-61.01947,NA
0716 Center,Arichat Harbour,Richmond,0716,45.50135,-61.04197,NA
0745,Nyanza Bay,Victoria,NA,46.0854,-60.89284,NA
0778,St. Peters Inlet,Richmond,NA,45.66183,-60.84761,NA
0814x E,Whycocomagh Basin,Inverness,0814x,45.95126,-61.12071,NA
0814x W,Whycocomagh Basin,Inverness,0814x,45.94547,-61.12917,NA
0994,St. Peters Inlet,Richmond,NA,45.65533,-60.84581,NA
1012,St. Marys Bay,Digby,1012,44.4071,-66.16053,NA
1042,Annapolis Basin,Annapolis,1042,44.65286,-65.67453,NA
1147,McNabs Bay,Colchester,NA,45.7566,-63.35891,NA
1199,Whitehead Harbour,Guysborough,1199,45.27429,-61.12844,May be distinct from Northeast Branch
1307,Country Harbour,Guysborough,1307,45.16007,-61.68006,NA
1323,Sober Island Pond,Halifax,1323,44.84519,-62.46629,NA
1330,Mabou Harbour,Inverness,1330,46.08417,-61.45722,NA
1331,Mabou Harbour,Inverness,1331,46.07547,-61.44736,NA
1369,Merigomish Harbour,Pictou,NA,45.652013,-62.431102,"Initially deployed for Ramon. No data recorded for initial deployment, so lat/long updated to match later aquaHub deployment"
1442,Antigonish Harbour,Antigonish,NA,45.671617,-61.892617,NA
1443,Antigonish Harbour,Antigonish,NA,45.67901667,-61.89558333,NA
5004,Annapolis Basin,Annapolis,NA,44.67657,-65.69118,NA
5005,Annapolis Basin,Annapolis,5005,44.63417,-65.71193,NA
5006,Annapolis Basin,Annapolis,5006,44.66958,-65.64773,NA
5007,St. Marys Bay,Digby,5007,44.53912,-65.95798,NA
5008,St. Marys Bay,Digby,5008,44.50384,-65.9323,NA
Aberdeen,Whycocomagh Bay,Inverness,NA,45.97608,-61.02268,NA
Antigonish 1,Grahams Cove,Antigonish,NA,45.67768,-61.91248,NA
Antigonish 2,Grahams Cove,Antigonish,NA,45.67762,-61.91265,NA
Antigonish 3,Grahams Cove,Antigonish,NA,45.67756,-61.91282,NA
BDLS-1108,Lochmore Harbour,Cape Breton,NA,45.894472,-60.572278,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-1225,McKinnons Harbour,Victoria,NA,45.930472,-60.932222,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-1246,MacIvers Cove,Victoria,NA,46.048194,-60.826583,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-1430,Whycocomagh Bay,Inverness,NA,45.979667,-61.028833,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-193,Denas Pond,Inverness,NA,46.008028,-60.98925,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-496,MacLeans Cove,Inverness,NA,45.866,-61.059194,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-838,Soldiers Cove,Richmond,NA,45.696667,-60.7425,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-AD,Whycocomagh Bay,Inverness,NA,45.957861,-61.001583,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-BMB,Little Boom,Inverness,NA,45.904889,-61.01825,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-BP,Benacadie Pond,Cape Breton,NA,45.903139,-60.72325,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-BSA,MacKillops Pond,Victoria,NA,46.216917,-60.59725,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-EBS,East Bay,Cape Breton,NA,46.015694,-60.393,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-JLM,MacKinnons Cove,Inverness,NA,45.874306,-60.996583,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-MC,Morrison Cove,Inverness,NA,45.908333,-61.035806,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-MDP,MacDonalds Pond,Inverness,NA,45.938861,-61.107694,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-MFH,MacRaes Cove,Inverness,NA,45.870611,-60.933972,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-NW,Nyanza Bay,Victoria,NA,46.08025,-60.876833,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-OD,Blues Cove,Inverness,NA,45.900417,-61.081139,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-RPWB,Ross Pond,Inverness,NA,45.751083,-61.153972,MSX Surveillance (Bras d'Or Lakes Surveillance)
BDLS-WBR,Campbells Cove,Victoria,NA,46.025167,-60.863,MSX Surveillance (Bras d'Or Lakes Surveillance)
Back Harbour,Merigomish Harbour,Pictou,1320,45.63213,-62.50563,NA
Bald Rock,Whitehead Harbour,Guysborough,NA,45.19868,-61.18863,NA
Barachois,Indian Harbour,Guysborough,NA,45.08481,-61.82364,NA
Barra Strait N,Bras d'Or Lakes,Victoria,NA,45.96545,-60.79936,NA
Barra Strait S,Bras d'Or Lakes,Victoria,NA,45.94698,-60.80919,NA
Barren Island,Marie Joseph Harbour,Guysborough,NA,44.9502,-62.01107,NA
Bartletts Beach,Green Cove,Digby,NA,44.01019,-66.18618,NA
Bay St. Lawrence,Bay St. Lawrence,Victoria,NA,47.013967,-60.48855,NA
Beaver Point,Beaver Harbour,Halifax,NA,44.87685,-62.39985,NA
Big Pond Point,Chebogue Harbour,Yarmouth,NA,43.77039,-66.13518,NA
Big Sluice,Salt Bay,Yarmouth,1400,43.81344,-65.91214,NA
Birchy Head,St. Margarets Bay,Lunenburg,NA,44.57001,-64.03446,NA
Black Rocks,New Harbour,Guysborough,NA,45.159702,-61.403179,NA
Blue Island,Green Harbour,Shelburne,NA,43.686279999999996,-65.16781,NA
Borgles Island,Shoal Bay,Halifax,NA,44.77311,-62.72585,NA
Broad 1 Dirt Road 1,Broad River,Queens,NA,43.97458,-64.88172,NA
Bull Rock,Fishermans Harbour,Guysborough,NA,45.083766,-61.646531,NA
Burnt Island,Whitehead Harbour,Guysborough,0191,45.25571,-61.14668,NA
Cameron Island,West Bay,Inverness,NA,45.8116166666667,-61.02655,NA
Camerons Cove,Woods Harbour,Shelburne,0967,43.49714,-65.73784,NA
Canso Lock,Strait of Canso,Inverness,NA,45.64688,-61.41147,NA
Cape Auguet,Arichat Harbour,Richmond,NA,45.4982,-61.01917,NA
Cape Auguet Bay,Arichat Harbour,Richmond,NA,45.50036,-61.0187,NA
Captains Pond,Grahams Cove,Antigonish,NA,45.6748,-61.90786,NA
Careys Point,Snows Cove,Halifax,NA,44.91053333,-62.31998333,NA
Caribou Island,Caribou Harbour,Pictou,NA,45.74195,-62.7085666666667,NA
Cascarette Island,Lennox Passage,Richmond,NA,45.61129,-60.98441,NA
Center Bay,Tor Bay,Guysborough,NA,45.22565,-61.29616,**Called Tor Bay Center in NSDFA tracking
Centreville,St. Marys Bay,Digby,NA,44.53624,-66.00172,NA
Centreville 1,St. Marys Bay,Digby,NA,44.5328,-65.98404,"Formerly Centreville, renamed due to distance from other deployments at Centreville station"
Chance Harbour,Chance Harbour,Pictou,NA,45.66907,-62.5719,NA
Charley Rock,St. Margarets Bay,Lunenburg,NA,44.514638,-63.977783,NA
Cheticamp River,Outer Cheticamp Harbour,Inverness,NA,46.676567,-60.967883,NA
Church Point 1,St. Marys Bay,Digby,NA,44.32402,-66.13568,NA
Church Point 2,St. Marys Bay,Digby,NA,44.32015,-66.13507,NA
Colquhoun Point,Northumberland Strait,Pictou,NA,45.6673166666667,-62.4995333333333,NA
Cornwallis,Annapolis Basin,Annapolis,NA,44.6694,-65.64478,NA
Cossitt Point,East Bay,Cape Breton,NA,45.97342,-60.4702,NA
Deep Basin,Whycocomagh Basin,Inverness,NA,45.94851,-61.12466,NA
Denys Basin E,Bras d'Or Lakes,Inverness,NA,45.90399,-60.99486,NA
Denys Basin W,Bras d'Or Lakes,Inverness,NA,45.90103,-61.02866,NA
Dorts Cove,Chedabucto Bay,Guysborough,NA,45.35905,-61.41966,NA
Dorts Cove 1,Chedabucto Bay,Guysborough,NA,45.36085,-61.40703,"Some deployments formerly Sandy Cove Chedabucto, renamed to avoid confusion with Sandy Cove St. Marys deployments"
East Bay,Bras d'Or Lakes,Cape Breton,NA,45.97342,-60.4702,NA
East Ferry,St. Marys Bay,Digby,NA,44.38944,-66.17638,NA
East Gibbs Island,Sheet Harbour,Halifax,NA,44.83859,-62.5117,NA
East River Marina,East River Bay,Lunenburg,NA,44.577628,-64.17112,NA
Eastern Passage,Arichat Harbour,Richmond,NA,45.49028,-61.03831,NA
Eddy Cove,Strait of Canso,Guysborough,NA,45.52517,-61.25535,NA
English Harbour,Tor Bay,Guysborough,NA,45.25007,-61.29866,NA
Englishtown,St. Anns Harbour,Victoria,NA,46.26374,-60.55493,NA
Fishermans Island,Whitehead Harbour,Guysborough,0904,45.23997,-61.16838,NA
Flat Island,Mahone Bay,Lunenburg,NA,44.43344,-64.13161,NA
Fourchu Rock,Fourchu Bay,Cape Breton,NA,45.731496,-60.209156,NOTE: Right on county boundary line. Double check county after deployment
Fryingpan Island,Medway River,Queens,NA,44.10013,-64.52783,NA
Gabion Shoal,Lennox Passage,Richmond,NA,45.6026,-60.90244,NA
Great Bras d'Or Channel NE-E,Bras d'Or Lakes,Victoria,NA,46.25137,-60.46452,NA
Great Bras d'Or Channel NE-W,Bras d'Or Lakes,Victoria,NA,46.25548,-60.47119,NA
Great Bras d'Or Channel SW-E,Bras d'Or Lakes,Victoria,NA,46.11841,-60.62659,NA
Great Bras d'Or Channel SW-W,Bras d'Or Lakes,Victoria,NA,46.12059,-60.63396,NA
Gypsum Wharf,Little Narrows,Victoria,NA,46.00276,-60.96011,NA
Harbour Island,Whitehead Harbour,Guysborough,0839,45.23836,-61.15051,NA
Hourglass Lake,Hourglass Lake,Digby,NA,44.32794,-65.92824,NA
Ile du Havre,Havre Boucher,Antigonish,1387,45.69031,-61.51731,NA
Ingomar,Negro Harbour,Shelburne,NA,43.52435,-65.3555,NA
Inner Harbour,Chance Harbour,Pictou,1329,45.66912,-62.5725,NA
Jerseyman Island,Arichat Harbour,Richmond,NA,45.49817,-61.04465,NA
Jewers Bay,Marie Joseph Harbour,Guysborough,1308,44.96271,-62.08791,NA
Kavanagh Point,Arichat Harbour,Richmond,0692,45.49824,-61.01931,NA
Larrys River,Tor Bay,Guysborough,NA,45.20768,-61.35319,NA
Lawrencetown Beach,Lawrencetown Beach,Halifax,NA,44.63432,-63.33721,NA
Les Rochers,Bay of Rocks,Richmond,NA,45.52904,-60.92601,NA
Lesser Hope Rock,Sandy Bay,Queens,NA,43.79937,-64.87902,NA
Little Bras d'Or Channel,Bras d'Or Lakes,Cape Breton,NA,46.29626,-60.28769,NA
Little Harbour,Little Harbour,Shelburne,NA,43.71572,-65.0084,NA
Little Narrows N,Bras d'Or Lakes,Victoria,NA,45.99898,-60.97434,NA
Little Narrows S,Bras d'Or Lakes,Victoria,NA,45.98641,-60.99028,NA
Little Rafuse Island,Mahone Bay,Lunenburg,NA,44.4372,-64.25058,NA
Lobster Bay,Lobster Bay,Yarmouth,NA,43.67902,-65.8978,NA
Lobster Ledge,Annapolis Basin,Annapolis,NA,44.67821,-65.68335,NA
Logger 1,St. Marys River,Guysborough,NA,45.07811,-61.93844,NA
